frame.number,frame.time_relative,frame.len,frame.time_delta,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,icmp.type,icmp.seq,mqtt.msgtype,label
1,0.0,162,0.0,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,0.0,5.0,1
2,5.5e-05,162,5.5e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,0.0,5.0,1
3,8.8e-05,162,3.3e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,256.0,5.0,1
4,0.000102,162,1.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,256.0,5.0,1
5,0.000112,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,512.0,5.0,1
6,0.000123,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,512.0,5.0,1
7,0.000131,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,768.0,5.0,1
8,0.000141,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,768.0,5.0,1
9,0.00015,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1024.0,5.0,1
10,0.00016,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1024.0,5.0,1
11,0.000167,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1280.0,5.0,1
12,0.000177,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1280.0,5.0,1
13,0.000183,162,6e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1536.0,5.0,1
14,0.000193,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1536.0,5.0,1
15,0.000201,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1792.0,5.0,1
16,0.000212,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1792.0,5.0,1
